electric_equipment_space_type_name,electric_equipment_minimum_epd,electric_equipment_average_epd,electric_equipment_median_epd,electric_equipment_maximum_epd,electric_equipment_epd_unit
audience_seating_all_other_electric_equipment,0.31,0.49,0.46,0.75,W/ft2
confinement_cells_electric_equipment,0.22,0.26,0.26,0.32,W/ft2
courtroom_electric_equipment,0.25,0.4,0.4,0.56,W/ft2
judges_chambers_electric_equipment,0.5,0.59,0.59,0.68,W/ft2
library_stacks_electric_equipment,0,0.2,0.2,0.33,W/ft2
storage_inactive_electric_equipment,0,0,0,0,W/ft2
dining_bar_lounge_leisure_electric_equipment,0.5,0.5,0.5,0.5,W/ft2
dining_cafeteria_fast_food_electric_equipment,0.6,0.6,0.6,0.6,W/ft2
dining_family_electric_equipment,0.78,0.78,0.78,0.78,W/ft2
computer_room_electric_equipment,0.69,0.7,0.69,0.73,W/ft2
dormitory_living_quarters_electric_equipment,0.23,0.44,0.42,0.62,W/ft2
audience_seating_exercise_center_electric_equipment,0.6,0.6,0.6,0.6,W/ft2
exam_treatment_electric_equipment,0.51,0.56,0.53,0.66,W/ft2
library_reading_electric_equipment,0.32,0.49,0.46,0.71,W/ft2
emergency_vehicle_garage_electric_equipment,0.39,0.39,0.39,0.39,W/ft2
firestation_sleeping_quarters_electric_equipment,0.37,0.37,0.37,0.37,W/ft2
parking_area_interior_electric_equipment,0.11,0.27,0.3,0.32,W/ft2
audience_seating_gymnasium_electric_equipment,0.64,0.64,0.64,0.64,W/ft2
emergency_room_electric_equipment,0.61,0.62,0.62,0.62,W/ft2
patient_room_electric_equipment,0.71,0.72,0.72,0.73,W/ft2
pharmacy_electric_equipment,0.47,0.64,0.72,0.74,W/ft2
corridor_hospital_electric_equipment,0.3,0.3,0.3,0.3,W/ft2
fellowship_hall_religious_facility_electric_equipment,0.36,0.39,0.39,0.41,W/ft2
lounge_breakroom_healthcare_facility_electric_equipment,0.75,0.75,0.75,0.75,W/ft2
operating_room_electric_equipment,0.77,0.77,0.77,0.77,W/ft2
physical_therapy_electric_equipment,0.73,0.73,0.73,0.73,W/ft2
storage_lt_50_sf_hospital_electric_equipment,0,0,0,0,W/ft2
storage_50_to_1000_sf_hospital_electric_equipment,0,0,0,0,W/ft2
guest_room_electric_equipment,0.47,0.53,0.53,0.58,W/ft2
lobby_hotel_electric_equipment,0.5,0.5,0.5,0.5,W/ft2
library_cataloging_electric_equipment,0.21,0.21,0.21,0.21,W/ft2
museum_exhibit_area_electric_equipment,0.32,0.46,0.43,0.68,W/ft2
corridor_manufacturing_facility_electric_equipment,0.38,0.38,0.38,0.38,W/ft2
manufacturing_equipment_room_electric_equipment,0,0,0,0,W/ft2
manufacturing_low_bay_electric_equipment,0.67,0.67,0.67,0.67,W/ft2
performing_arts_dressing_room_electric_equipment,0.29,0.41,0.43,0.5,W/ft2
audience_seating_auditorium_electric_equipment,0.26,0.29,0.29,0.32,W/ft2
audience_seating_motion_picture_theater_electric_equipment,0.28,0.28,0.28,0.28,W/ft2
lobby_motion_picture_theater_electric_equipment,0.33,0.33,0.33,0.33,W/ft2
dwelling_unit_electric_equipment,0.25,0.25,0.25,0.25,W/ft2
museum_restoration_electric_equipment,0.21,0.21,0.21,0.21,W/ft2
banking_activity_electric_equipment,0.54,0.55,0.55,0.56,W/ft2
warehouse_fine_storage_electric_equipment,0,0.06,0.06,0.12,W/ft2
classroom_lecture_training_penitentiary_electric_equipment,0.41,0.41,0.41,0.41,W/ft2
dining_penitentiary_electric_equipment,0.35,0.35,0.35,0.35,W/ft2
audience_seating_performing_arts_theater_electric_equipment,0.27,0.27,0.27,0.27,W/ft2
lobby_performing_arts_theater_electric_equipment,0.33,0.33,0.33,0.33,W/ft2
audience_seating_religious_facility_electric_equipment,0.41,0.41,0.41,0.41,W/ft2
worship_pulpit_choir_area_electric_equipment,0.42,0.42,0.42,0.42,W/ft2
classroom_lecture_training_preschool_to_12th_electric_equipment,0.67,0.67,0.67,0.67,W/ft2
sports_arena_playing_area_class_ii_electric_equipment,0.32,0.48,0.48,0.64,W/ft2
audience_seating_sports_arena_electric_equipment,0.38,0.38,0.38,0.38,W/ft2
airport_concourse_electric_equipment,0.52,0.52,0.52,0.52,W/ft2
atrium_lt_20_ft_height_electric_equipment,0.53,0.53,0.53,0.53,W/ft2
atrium_gt_40_ft_height_electric_equipment,0.53,0.53,0.53,0.53,W/ft2
atrium_gte_20_ft_and_lte_40_ft_in_height_electric_equipment,0.53,0.53,0.53,0.53,W/ft2
baggage_carousel_electric_equipment,0.55,0.55,0.55,0.55,W/ft2
seating_area_general_electric_equipment,0.25,0.25,0.25,0.25,W/ft2
transportation_ticket_counter_electric_equipment,0.74,0.74,0.74,0.74,W/ft2
warehouse_bulk_storage_electric_equipment,0.11,0.11,0.11,0.11,W/ft2
attic_electric_equipment,0,0,0,0,W/ft2
plenum_electric_equipment,0,0,0,0,W/ft2
shaft_electric_equipment,0,0,0,0,W/ft2
